Nº Leitores | Nº Escritores | Tempo total (ms)


Simulação: 1
100 0 187
99 1 104
98 2 112
97 3 119
96 4 126
95 5 165
94 6 169
93 7 160
92 8 169
91 9 182
90 10 221
89 11 207
88 12 218
87 13 233
86 14 215
85 15 305
84 16 243
83 17 273
82 18 266
81 19 289
80 20 313
79 21 310
78 22 308
77 23 303
76 24 304
75 25 319
74 26 329
73 27 315
72 28 358
71 29 325
70 30 340
69 31 394
68 32 332
67 33 378
66 34 440
65 35 456
64 36 437
63 37 597
62 38 370
61 39 490
60 40 421
59 41 344
58 42 361
57 43 485
56 44 398
55 45 482
54 46 666
53 47 1373
52 48 607
51 49 1025
50 50 929
49 51 771
48 52 519
47 53 621
46 54 540
45 55 440
44 56 482
43 57 449
42 58 441
41 59 588
40 60 1184
39 61 732
38 62 1050
37 63 912
36 64 464
35 65 464
34 66 375
33 67 419
32 68 311
31 69 339
30 70 370
29 71 250
28 72 300
27 73 301
26 74 299
25 75 410
24 76 340
23 77 242
22 78 751
21 79 328
20 80 895
19 81 1243
18 82 337
17 83 384
16 84 290
15 85 320
14 86 191
13 87 230
12 88 139
11 89 174
10 90 113
9 91 105
8 92 181
7 93 93
6 94 98
5 95 106
4 96 75
3 97 50
2 98 60
1 99 75
0 100 55


Simulação: 2
100 0 1420
99 1 1270
98 2 1456
97 3 1745
96 4 1850
95 5 1534
94 6 1760
93 7 1439
92 8 1568
91 9 1308
90 10 1528
89 11 1262
88 12 1138
87 13 1290
86 14 2682
85 15 5229
84 16 4685
83 17 3236
82 18 2007
81 19 2243
80 20 1735
79 21 1912
78 22 1751
77 23 1563
76 24 1468
75 25 1345
74 26 1445
73 27 1930
72 28 1500
71 29 2177
70 30 1432
69 31 1732
68 32 1586
67 33 1722
66 34 1835
65 35 1411
64 36 1295
63 37 1479
62 38 1463
61 39 1489
60 40 1860
59 41 1478
58 42 1254
57 43 1268
56 44 1350
55 45 1347
54 46 1297
53 47 1307
52 48 1343
51 49 1530
50 50 1589
49 51 1356
48 52 1357
47 53 1247
46 54 1676
45 55 1573
44 56 1935
43 57 1370
42 58 1346
41 59 1474
40 60 1239
39 61 1057
38 62 1057
37 63 1309
36 64 1174
35 65 1231
34 66 992
33 67 1159
32 68 1003
31 69 1005
30 70 1083
29 71 896
28 72 781
27 73 782
26 74 891
25 75 763
24 76 720
23 77 837
22 78 908
21 79 805
20 80 581
19 81 721
18 82 1251
17 83 938
16 84 651
15 85 701
14 86 571
13 87 453
12 88 402
11 89 381
10 90 289
9 91 301
8 92 330
7 93 308
6 94 215
5 95 294
4 96 126
3 97 122
2 98 146
1 99 58
0 100 45
